a52dec 0.7.4-10
speech-dispatcher 0.9.1-3
speedtest-cli 2.1.2-2
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spice-gtk 0.37-1
spirv-tools 2019.3-2
sqlite 3.30.1-2
srt 1.4.1-1
startup-notification 0.12-6
sudo 1.8.29-1
suitesparse 5.6.0-1
sushi 3.34.0-1
sysfsutils 2.1.0-11
systemd 244-1
systemd-libs 244-1
systemd-sysvcompat 244-1
systemd-ui 3-4
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.3.0-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.3.18-4
telegram-desktop 1.8.15-2
telepathy-glib 0.24.1-2
tevent 1:0.9.39-4
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
totem 3.34.1-1
totem-pl-parser 3.26.4-1
tracker 2.3.0-2
tracker-miners 2.3.0-2
tslib 1.21-1
ttf-dejavu 2.37-2
ttf-ms-fonts 2.0-10
twolame 0.4.0-2
tzdata 2019c-3
udisks2 2.8.4-1
ufw 0.36-3
uget 2.2.2-2
unrar 1:5.8.5-1
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+66+g9af2b12-1
usbredir 0.8.0-1
usbutils 012-2
util-linux 2.34-8
v4l-utils 1.16.7-1
vala 0.46.5-1
vde2 2.3.2-13
vi 1:070224-4
vid.stab 1.1-2
vim 8.1.2268-2
vim-runtime 8.1.2268-2
vino 3.22.0+60+gd29a4f2-1
virglrenderer 0.8.0-1
virtualbox 6.0.14-4
virtualbox-guest-iso 6.0.14-1
virtualbox-host-dkms 6.0.14-4
vlc 3.0.8-6
volume_key 0.3.12-2
vscodium-bin 1.40.2-1
vte-common 0.58.3-1
vte3 0.58.3-1
vulkan-icd-loader 1.1.129-1
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.18-1
webkit2gtk 2.26.2-2
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
wildmidi 0.4.3-1
wireless_tools 30.pre9-3
wireshark-cli 3.0.7-1
wireshark-qt 3.0.7-1
woff2 1.0.2-1
wpa_supplicant 2:2.9-2
wpebackend-fdo 1.4.0-2
wps-office 11.1.0.8865-6
wps-office-mime 11.1.0.8865-6
x264 3:0.157.r2980.34c06d1-2
x265 3.2.1-1
xcb-proto 1.13-4
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xdg-dbus-proxy 0.1.2-1
xdg-user-dirs 0.17-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdg-utils 1.1.3+18+g0547886-4
xf86-input-libinput 0.29.0-1
xf86-video-amdgpu 19.1.0-1
xf86-video-intel 1:2.99.917+897+g0867eea6-1
xfce4-terminal 0.8.8-2
xfconf 4.14.1-1
xfsprogs 5.3.0-1
xkeyboard-config 2.28-1
xmlsec 1.2.29-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.6-1
xorg-server-common 1.20.6-1
xorg-server-xwayland 1.20.6-1
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xdpyinfo 1.3.2-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.2-1
xvidcore 1.3.5-1
xz 5.2.4-2
yajl 2.1.0-2
youtube-dl 2019.11.28-1
zbar 0.23-2
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zsh 5.7.1-1
zsh-autosuggestions 0.6.3-1
zsh-completions 0.31.0-1
zsh-syntax-highlighting 0.6.0-1
zsh-theme-powerlevel9k 0.6.7-1
zstd 1.4.4-1
zvbi 0.2.35-3
